,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,wine_type
0,0.4327220611166336,1.0000000000000002,0.0,-0.8217833001963162,1.4755882324401195,0.19230769230769235,0.14775725593667546,0.8758705448586568,1.0,0.4138103423120771,0.3333333333333335,5,red
1,0.9008003514100386,1.0000000000000002,0.0,-0.6333703132526388,1.6230871207810664,0.46153846153846156,0.32189973614775724,0.7939369111020085,0.6428571428571432,1.5161546047243069,0.4285714285714288,5,red
2,0.9008003514100386,1.0000000000000002,4.163336342344337e-17,-0.7141187362285006,1.6230871207810664,0.2692307692307693,0.25329815303430075,0.8103236378533296,0.7380952380952381,1.240568539121249,0.4285714285714288,5,red
3,1.544408000563471,0.49382716049382736,1.0000000000000002,-0.8217833001963162,1.416588677103741,0.3076923076923077,0.28496042216358836,0.8922572716099921,0.57936507936508,0.5975343860474479,0.4285714285714288,6,red
4,0.4327220611166336,1.0000000000000002,0.0,-0.8217833001963162,1.4755882324401195,0.19230769230769235,0.14775725593667546,0.8758705448586568,1.0,0.4138103423120771,0.3333333333333335,5,red
5,0.4327220611166336,1.0000000000000002,0.0,-0.8486994411882701,1.416588677103741,0.23076923076923078,0.17941952506596304,0.8758705448586568,1.0,0.4138103423120771,0.3333333333333335,5,red
6,1.0178199239833905,1.0000000000000002,0.04761904761904766,-0.9025317231721779,1.0625913450854714,0.2692307692307693,0.2796833773087071,0.7611634575993378,0.8015873015873014,-0.5048098763647814,0.3333333333333335,5,red
7,0.31570248854328153,1.0000000000000002,0.0,-1.0101962871399934,0.8265931237399577,0.2692307692307693,0.07915567282321899,0.6136829168373623,0.9444444444444446,-0.4129478544970959,0.4761904761904763,7,red
8,0.9008003514100386,1.0000000000000002,0.0,-0.7948671592043622,1.2985895664309843,0.15384615384615385,0.06332453825857519,0.7939369111020085,0.8968253968253963,0.505672364179762,0.3571428571428572,7,red
9,0.5497416336899845,1.0000000000000002,0.7619047619047619,0.308694621465748,1.1805904557582274,0.3076923076923077,0.5065963060686015,0.8758705448586568,0.8809523809523814,1.5620856156581497,0.5952380952380949,5,red
